C0,C1,C2,C3,C4,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
-984,-2827,2543,19180,29662,9,65486,0.0188084834770853,70.4662668637682,NaN,NaN,NaN,0
-979,-2739,2415,19111,29817,9,65433,0.0295200656743747,72.4001949003353,NaN,NaN,NaN,0
-917,-2804,2299,19208,30038,9,65610,0.0208063751473552,70.5596340731172,NaN,NaN,NaN,0
-446,-2735,775,19114,32134,9,65550,0.0296162588802291,72.4000805545635,NaN,NaN,NaN,0
-447,-2771,755,19159,32183,9,65575,0.0207051943485124,70.5534397823297,NaN,NaN,NaN,0
-445,-2690,803,19077,32116,9,65606,0.0297940732034783,72.4008515260674,NaN,NaN,NaN,0
-500,-2739,882,19116,31985,9,65503,0.0299906848687443,72.4001252128727,NaN,NaN,NaN,0
-435,-2763,701,19130,32236,9,65502,0.0301099079864774,72.4000780279639,NaN,NaN,NaN,0
-498,-2742,658,19134,32398,9,65502,0.0162099185432871,70.3033808202753,NaN,NaN,NaN,0
-956,-2665,2492,19070,29693,9,65575,0.0303532523329341,72.4025374860466,NaN,NaN,NaN,0
-905,-2671,2415,19068,29804,9,65618,0.0303834951334986,72.4029028739447,NaN,NaN,NaN,0
-883,-2689,2268,19092,29992,9,65568,0.0304412705554564,72.4023684869591,NaN,NaN,NaN,0
-426,-2719,686,19091,32295,9,65559,0.0290404381176881,70.9260906092331,NaN,NaN,NaN,0
-908,-2749,2315,19119,29930,9,65484,0.0311337570617047,72.4023105052085,NaN,NaN,NaN,0
-967,-2649,2453,19058,29775,9,65565,0.0286941509891729,70.8753453529785,NaN,NaN,NaN,0
-893,-2738,2278,19098,30008,9,65498,0.0314494256967461,72.4027551825194,NaN,NaN,NaN,0
-910,-2709,2478,19101,29676,9,65596,0.0315385304434758,72.4039553151895,NaN,NaN,NaN,0
-416,-2667,696,19061,32264,9,65612,0.0315432995197223,71.7910988869517,NaN,NaN,NaN,0
-430,-2754,670,19110,32299,9,65491,0.0315877761497273,71.4462790803178,NaN,NaN,NaN,0
-915,-2712,2288,19094,29980,9,65490,0.0316762423811462,72.4029565469824,NaN,NaN,NaN,0
-866,-2669,2290,19060,29984,9,65614,0.0318130407183588,72.4042963420027,NaN,NaN,NaN,0
-464,-2754,702,19143,32275,9,65529,0.0215934201161377,70.4836678492531,NaN,NaN,NaN,0
-915,-2774,2368,19153,29860,9,65524,0.0248733552153915,70.6429542254711,NaN,NaN,NaN,0
-466,-2743,749,19103,32188,9,65474,0.032167988858042,72.4020719183605,NaN,NaN,NaN,0
-481,-2733,837,19103,32049,9,65501,0.0322386302623045,72.4024800387771,NaN,NaN,NaN,0
-470,-2732,823,19106,32059,9,65513,0.0324223014962225,72.4027792285482,NaN,NaN,NaN,0
-499,-2749,877,19100,32012,9,65470,0.0325948969280344,71.5560168530703,NaN,NaN,NaN,0
-914,-2752,2359,19108,29876,9,65478,0.032790234387131,72.404057699632,NaN,NaN,NaN,0
-920,-2719,2343,19082,29918,9,65490,0.0329118766590791,71.8393722352826,NaN,NaN,NaN,0
-927,-2737,2371,19104,29853,9,65475,0.0330097231200354,72.4042884109012,NaN,NaN,NaN,0
-928,-2741,2389,19106,29825,9,65477,0.0331600198886599,72.4044789322634,NaN,NaN,NaN,0
-924,-2781,2412,19131,29780,9,65456,0.0332479127663865,72.4043616759394,NaN,NaN,NaN,0
-920,-2723,2390,19083,29846,9,65506,0.0332832305302561,71.1974695333801,NaN,NaN,NaN,0
-480,-2738,796,19102,32108,9,65468,0.033476496653253,72.4034593188145,NaN,NaN,NaN,0
-949,-2693,2371,19070,29877,9,65475,0.0335037230755791,72.404852919203,NaN,NaN,NaN,0
-921,-2734,2418,19108,29765,9,65507,0.033628667703419,72.4052915829756,NaN,NaN,NaN,0
-503,-2758,841,19105,32059,9,65429,0.0336352899906774,72.4032820966503,NaN,NaN,NaN,0
-909,-2672,2363,19081,29935,9,65661,0.0224355515480656,70.4392394606274,NaN,NaN,NaN,0
-956,-2748,2415,19153,29932,9,65660,0.0259797898086384,70.6142651540921,NaN,NaN,NaN,0
-952,-2686,2404,19069,29820,9,65490,0.0339042148197673,72.4054550204647,NaN,NaN,NaN,0
-932,-2677,2380,19064,29851,9,65521,0.0339321756790735,72.4057628594259,NaN,NaN,NaN,0
-905,-2693,2424,19081,29760,9,65574,0.0339427832555287,72.4062924979936,NaN,NaN,NaN,0
-458,-2738,675,19095,32294,9,65442,0.0339826813786802,72.4036598742563,NaN,NaN,NaN,0
-458,-2721,763,19101,32133,9,65503,0.0340072924968647,71.0521604318089,NaN,NaN,NaN,0
-867,-2822,2229,19193,30096,9,65562,0.0159390660465205,70.0944950901242,NaN,NaN,NaN,0
-483,-2726,793,19095,32110,9,65468,0.0341287992117345,72.4041655821919,NaN,NaN,NaN,0
-458,-2768,720,19123,32198,9,65432,0.0345437324386498,72.4041803017025,NaN,NaN,NaN,0
-928,-2699,2487,19085,29664,9,65554,0.034677946183832,72.4069385994581,NaN,NaN,NaN,0
-545,-2802,866,19190,32090,9,65508,0.0109381665134503,69.788186851427,NaN,NaN,NaN,0
-947,-2757,2460,19109,29717,9,65447,0.035234496679489,72.4064618727791,NaN,NaN,NaN,0
-909,-2694,2283,19124,30039,9,65647,0.0218911160619612,70.3317174282088,NaN,NaN,NaN,0
