C0,C1,C2,C3,C4,C5,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
560,136,-4233,-1587,20052,35663,11,65519,0.00423691146172089,72.366150702734,527618,NaN,NaN,0
550,142,-4227,-1527,20056,35554,11,65542,0.00371990125016877,72.3663093098443,527724,NaN,NaN,0
555,143,-4236,-1548,20054,35593,11,65529,0.00353088308956367,72.3671231047504,527764,NaN,NaN,0
547,140,-4247,-1562,20082,35601,11,65521,0.00517397222675583,71.6258375896742,527428,NaN,NaN,0
558,115,-4240,-1570,20070,35643,11,65509,0.00552036846562655,72.3622439828797,527360,NaN,NaN,0
575,135,-4272,-1555,20081,35614,11,65542,0.00370204291458842,72.3649583436169,527735,NaN,NaN,0
551,131,-4207,-1540,20039,35593,11,65541,0.00364670462838894,72.3658704495312,527750,NaN,NaN,0
552,130,-4221,-1568,20052,35617,11,65507,0.00581473317827992,72.3666629301871,527307,NaN,NaN,0
565,134,-4221,-1569,20046,35636,11,65546,0.00407399703464383,72.3667064181222,527664,NaN,NaN,0
565,130,-4243,-1560,20061,35599,11,65505,0.00609940278226732,72.3687720527325,527250,NaN,NaN,0
554,126,-4239,-1588,20074,35660,11,65514,0.00568190165527255,72.3618599687272,527338,NaN,NaN,0
553,123,-4227,-1558,20066,35614,11,65528,0.00536346939525614,72.362653384732,527405,NaN,NaN,0
601,130,-4320,-1553,20103,35605,11,65527,0.00469366193076861,72.3679428387863,527547,NaN,NaN,0
567,127,-4222,-1569,20048,35602,11,65504,0.00747433170233411,71.1263308586742,526978,NaN,NaN,0
552,144,-4233,-1534,20053,35571,11,65535,0.0033029304614004,72.3669581834658,527835,NaN,NaN,0
568,133,-4259,-1542,20064,35602,11,65530,0.00309840929873664,72.3661903181907,527877,NaN,NaN,0
558,118,-4226,-1530,20048,35580,11,65516,0.0046286886435362,72.3664438028899,527566,NaN,NaN,0
559,125,-4233,-1527,20055,35547,11,65505,0.0060978042077629,72.3691914834491,527266,NaN,NaN,0
559,140,-4250,-1540,20068,35555,11,65509,0.00581599872011006,72.3691082883579,527325,NaN,NaN,0
572,133,-4237,-1547,20059,35574,11,65534,0.00602065254756987,72.3697818035589,527285,NaN,NaN,0
566,158,-4235,-1564,20066,35578,11,65560,0.00561679311984762,72.3696002003257,527368,NaN,NaN,0
555,129,-4225,-1575,20052,35639,11,65511,0.00528383709258867,72.3658422432451,527437,NaN,NaN,0
543,153,-4195,-1586,20036,35616,11,65518,0.00625399214104136,72.3699775427563,527241,NaN,NaN,0
561,145,-4230,-1568,20055,35601,11,65527,0.00568951129012567,72.3693857246592,527357,NaN,NaN,0
560,128,-4215,-1540,20060,35572,11,65558,0.00571234603265393,71.6777687076582,527353,NaN,NaN,0
539,134,-4193,-1526,20032,35538,11,65510,0.00581236281324664,72.3694919329136,527334,NaN,NaN,0
555,143,-4230,-1555,20052,35592,11,65522,0.00477930100742513,72.368393610653,527546,NaN,NaN,0
558,133,-4221,-1570,20048,35603,11,65499,0.00702787034443165,72.3702189433893,527087,NaN,NaN,0
545,124,-4211,-1546,20045,35607,11,65521,0.00424089473364534,72.3639124347557,527659,NaN,NaN,0
541,142,-4212,-1541,20045,35560,11,65510,0.00542855069539899,72.3684995421566,527417,NaN,NaN,0
559,131,-4239,-1526,20052,35574,11,65528,0.00332079781235878,72.3667663577489,527849,NaN,NaN,0
